Município-São Paulo,Codigo Municipio,Ano,Gini,Densidade,% Trab,PIB per capita,Anos Medios de Educação,Investimento em Segurança,Urbanização,População,Homicídio Doloso,Furto,Roubo,Furto e Roubo de Veículo,Crime,Tx.Crime,Tx.Seg
SAO SEBASTIAO DA GRAMA,3550803,2015,0.2412815061841424,48.950079239302696,0.23253743423715095,16994.528542325494,11.643926209537069,326067.9776962385,0.7290791619578912,12355.0,0,78,7,16,101,8.174828004856334,26391.58055008001
SAO SEBASTIAO DA GRAMA,3550803,2014,0.28068998939677586,49.02535657686212,0.26175852594149024,19112.28054076489,11.876196356900278,307519.070400406,0.7329676329605214,12374.0,1,68,4,7,79,6.384354291255859,24852.034136124617
SAO SEBASTIAO DA GRAMA,3550803,2013,0.2963167762308205,49.10459587955626,0.2522994997579474,13245.035201936284,11.458266709306043,229253.92944207304,0.7278039530778263,12394.0,0,67,8,5,80,6.454736162659351,18497.170360018805
SAO SEBASTIAO DA GRAMA,3550803,2012,0.2799668276400026,47.72583201267829,0.25269799103436824,16123.74661342278,11.389947437582128,199651.59506777118,0.6447505091915381,12046.0,0,81,8,8,97,8.052465548729868,16574.098876620552
SAO SEBASTIAO DA GRAMA,3550803,2011,0.2287779044837184,47.82884310618066,0.22490059642147117,11633.972674380715,10.129281767955801,185036.65038958695,0.7265991193278469,12072.0,0,90,8,4,102,8.449304174950298,15327.754339760351
SAO SEBASTIAO DA GRAMA,3550803,2010,0.2526185034034702,47.93977812995246,0.2284297520661157,11638.01,10.026410998552821,230343.13,0.7115226743153724,12100.0,0,84,14,6,104,8.59504132231405,19036.622314049586
SAO VICENTE,3551009,2017,0.32782864321311916,2420.2820685023503,0.09818524890393474,9334.98555635173,13.854849649559123,6470451.693053678,0.9989911736855894,360380.0,26,3095,3365,1153,7613,21.124923691658804,17954.524926615453
SAO VICENTE,3551009,2016,0.32851264321976253,2404.224311618536,0.10326294942023358,9334.774653705685,13.722833878864934,7457195.100042315,0.9990105549601404,357989.0,20,2875,4030,1147,8052,22.492311216266422,20830.793963061198
SAO VICENTE,3551009,2015,0.3451523567193016,2387.790463398254,0.11586254225942363,10219.366828434606,13.602466378598825,9376283.846230824,0.9992074694280739,355542.0,26,3151,3109,985,7245,20.377339386064094,26371.803742541877
SAO VICENTE,3551009,2014,0.34662352206059743,2370.987239758227,0.1166525039655563,10847.779882658631,13.544472233688658,9724430.279290369,0.9993116586741374,353040.0,37,3739,4113,1328,9180,26.00271923861319,27544.83990281659
SAO VICENTE,3551009,2013,0.3497629151723035,2353.693754197448,0.11790335696859885,10840.893962546976,13.381476730960044,9769944.419052701,0.9993073395584174,350465.0,39,4198,3884,1476,9558,27.272338179276105,27877.090206019722
SAO VICENTE,3551009,2012,0.342059368997016,2261.9811954331767,0.11985724847020121,10426.477703699336,13.297976169833287,13606324.55140206,0.9993511570629415,336809.0,38,4421,4002,1322,9745,28.933312352104604,40397.74635298362
